depth[mm]	HF [V]	NF [V]	TGC [dB]
103,8	0,001	0,000	0,000
104,0	0,000	0,000	0,000
104,1	0,000	0,000	0,000
104,2	0,001	0,000	0,000
104,4	0,001	0,001	0,017
104,5	0,001	0,001	0,000
104,7	0,001	0,000	0,000
104,8	0,001	0,000	0,000
104,9	0,000	0,000	0,017
105,1	0,000	0,000	0,000
105,2	0,000	0,000	0,000
105,4	0,000	0,000	0,000
105,5	0,000	0,000	0,035
105,6	0,000	0,000	0,000
105,8	0,000	0,000	0,000
105,9	0,000	0,000	0,000
106,1	0,000	0,000	0,000
106,2	0,000	0,000	0,000
106,3	0,000	0,000	0,000
106,5	0,000	0,000	0,000
106,6	0,000	0,000	0,017
106,8	0,000	0,000	0,000
106,9	0,000	0,000	0,000
107,0	0,000	0,000	0,000
107,2	0,000	0,000	0,017
107,3	0,000	0,000	0,000
107,4	0,000	0,000	0,000
107,6	0,000	0,000	0,017
107,7	0,000	0,000	0,017
107,9	0,000	0,000	0,000
108,0	0,000	0,000	0,000
108,1	0,000	0,000	0,000
108,3	0,000	0,000	0,070
108,4	0,000	0,000	0,000
108,6	0,000	0,000	0,035
108,7	0,000	0,000	0,000
108,8	0,000	0,000	0,017
109,0	0,000	0,000	0,000
109,1	0,000	0,000	0,017
109,3	0,000	0,000	0,000
109,4	0,000	0,000	0,000
109,5	0,000	0,000	0,000
109,7	0,000	0,000	0,000
109,8	0,000	0,000	0,000
109,9	0,000	0,000	0,052
110,1	0,000	0,000	0,000
110,2	0,000	0,000	0,017
110,4	0,000	0,000	0,000
110,5	0,000	0,000	0,017
110,6	0,000	0,000	0,000
110,8	0,001	0,000	0,035
110,9	0,001	0,000	0,000
111,1	0,001	0,001	0,035
111,2	0,001	0,001	0,000
111,3	0,001	0,000	0,017
111,5	0,002	-0,001	0,000
111,6	0,002	-0,002	0,000
111,8	0,002	-0,002	0,000
111,9	0,001	-0,001	0,000
112,0	0,001	0,000	0,000
112,2	0,001	0,000	0,017
112,3	0,000	0,000	0,000
112,5	0,000	0,000	0,000
112,6	0,000	0,000	0,000
112,7	0,000	0,000	0,017
112,9	0,000	0,000	0,000
113,0	0,000	0,000	0,017
113,1	0,000	0,000	0,000
113,3	0,000	0,000	0,017
113,4	0,000	0,000	0,000
113,6	0,000	0,000	0,000
113,7	0,000	0,000	0,000
113,8	0,000	0,000	0,017
114,0	0,000	0,000	0,000
114,1	0,000	0,000	0,000
114,3	0,000	0,000	0,000
114,4	0,000	0,000	0,000
114,5	0,000	0,000	0,000
114,7	0,000	0,000	0,017
114,8	0,000	0,000	0,000
115,0	0,000	0,000	0,017
115,1	0,000	0,000	0,000
115,2	0,000	0,000	0,017
115,4	0,000	0,000	0,000
115,5	0,001	0,000	0,017
115,6	0,001	0,000	0,000
115,8	0,000	0,000	0,017
115,9	0,000	0,000	0,000
116,1	0,000	0,000	0,000
116,2	0,000	0,000	0,000
116,3	0,000	0,000	0,017
